"Version","Task","Concept","Att 1 - Preis","Att 2 - Verpflegung","Att 3 - Zimmerkategorie","Att 4 - Kundenbewertung","Att 5 - Meerblick"
1,1,1,2,2,3,3,3
1,1,2,2,3,2,2,3
1,1,3,1,2,1,3,1
1,1,4,3,1,3,1,2
2,1,1,2,2,3,3,3
2,1,2,1,3,2,1,2
2,1,3,3,3,1,1,1
2,1,4,1,1,2,2,2
3,1,1,2,1,1,2,1
3,1,2,1,3,3,3,2
3,1,3,2,2,2,1,3
3,1,4,3,1,1,2,1
4,1,1,1,2,3,2,1
4,1,2,3,2,1,2,2
4,1,3,2,3,1,1,2
4,1,4,3,1,2,3,3
5,1,1,2,2,1,2,2
5,1,2,3,3,3,1,3
5,1,3,3,3,2,3,1
5,1,4,1,1,3,1,3
6,1,1,1,1,2,3,1
6,1,2,2,1,2,3,1
6,1,3,3,3,1,2,3
6,1,4,2,2,3,1,2
7,1,1,2,3,3,2,1
7,1,2,1,1,1,1,3
7,1,3,3,2,2,3,2
7,1,4,1,2,2,1,1
8,1,1,2,2,2,1,1
8,1,2,3,1,3,2,2
8,1,3,1,3,1,3,3
8,1,4,1,3,3,2,3
9,1,1,2,3,3,1,1
9,1,2,2,1,1,3,2
9,1,3,3,1,1,3,2
9,1,4,1,2,2,2,3
10,1,1,1,3,2,2,2
10,1,2,3,2,1,1,3
10,1,3,2,1,3,3,1
10,1,4,3,2,3,2,1
11,1,1,2,2,3,2,1
11,1,2,1,3,1,3,2
11,1,3,3,3,2,3,2
11,1,4,3,1,2,1,3
12,1,1,2,2,2,2,2
12,1,2,1,1,1,1,1
12,1,3,3,3,3,3,1
12,1,4,1,1,1,1,3
13,1,1,3,1,2,3,1
13,1,2,3,2,1,3,3
13,1,3,2,3,1,2,3
13,1,4,1,2,3,1,2
14,1,1,1,1,3,2,3
14,1,2,2,3,2,1,2
14,1,3,2,1,2,2,3
14,1,4,3,2,1,3,1
15,1,1,1,3,3,1,2
15,1,2,3,2,2,2,1
15,1,3,3,1,3,1,2
15,1,4,2,1,1,3,3
16,1,1,3,1,2,1,2
16,1,2,1,3,2,3,3
16,1,3,2,2,3,3,3
16,1,4,1,3,1,2,1
17,1,1,2,3,1,1,1
17,1,2,1,2,3,2,2
17,1,3,1,2,1,1,1
17,1,4,3,1,2,3,3
18,1,1,3,2,1,2,3
18,1,2,2,3,3,3,2
18,1,3,1,1,2,1,1
18,1,4,2,1,3,2,2
19,1,1,3,3,3,2,1
19,1,2,1,2,1,3,2
19,1,3,2,1,2,2,1
19,1,4,3,3,3,1,3
20,1,1,3,1,3,2,1
20,1,2,2,2,2,1,3
20,1,3,1,3,1,3,2
20,1,4,2,2,1,1,2
21,1,1,2,1,1,2,2
21,1,2,3,2,3,1,1
21,1,3,1,3,2,2,3
21,1,4,1,3,2,3,3
22,1,1,2,3,2,3,1
22,1,2,3,3,2,1,2
22,1,3,1,1,3,3,1
22,1,4,2,2,1,2,3
23,1,1,2,3,2,2,1
23,1,2,1,2,3,3,2
23,1,3,1,1,3,1,3
23,1,4,3,1,1,1,3
24,1,1,3,2,2,3,2
24,1,2,1,1,2,2,1
24,1,3,3,2,1,3,2
24,1,4,2,3,3,1,3
25,1,1,2,3,1,1,1
25,1,2,3,3,1,2,3
25,1,3,1,2,3,3,3
25,1,4,3,1,2,2,2
26,1,1,3,3,2,2,3
26,1,2,2,1,1,3,1
26,1,3,1,2,1,1,1
26,1,4,2,1,3,3,2
27,1,1,3,3,3,3,1
27,1,2,1,2,3,2,2
27,1,3,1,2,2,1,2
27,1,4,2,1,1,2,3
28,1,1,2,2,2,1,3
28,1,2,3,1,3,2,2
28,1,3,3,2,2,1,1
28,1,4,1,3,1,3,1
29,1,1,2,1,1,1,2
29,1,2,1,3,3,3,3
29,1,3,3,2,2,2,1
29,1,4,2,1,3,3,3
30,1,1,1,3,1,1,2
30,1,2,2,2,2,3,3
30,1,3,1,3,1,2,2
30,1,4,3,1,3,2,1
31,1,1,1,1,2,1,3
31,1,2,1,1,2,2,2
31,1,3,2,3,3,1,1
31,1,4,3,2,1,3,3
32,1,1,1,1,2,2,3
32,1,2,2,3,2,3,2
32,1,3,2,2,1,3,1
32,1,4,3,3,3,1,2
33,1,1,3,1,1,1,1
33,1,2,2,3,1,2,2
33,1,3,1,1,2,3,3
33,1,4,3,2,3,1,1
34,1,1,3,2,3,2,3
34,1,2,1,2,3,2,1
34,1,3,2,1,2,3,2
34,1,4,3,3,1,1,3
35,1,1,1,2,1,3,1
35,1,2,2,3,3,3,1
35,1,3,3,3,2,2,3
35,1,4,2,1,3,1,2
36,1,1,3,1,3,3,3
36,1,2,1,2,2,1,2
36,1,3,2,3,2,2,1
36,1,4,1,2,1,1,2
37,1,1,3,2,1,2,2
37,1,2,1,1,1,2,1
37,1,3,2,2,3,1,3
37,1,4,3,3,2,3,2
38,1,1,2,1,1,1,3
38,1,2,3,2,2,2,2
38,1,3,2,3,1,3,3
38,1,4,1,1,3,1,1
39,1,1,2,1,1,2,2
39,1,2,3,2,2,1,3
39,1,3,1,3,3,3,1
39,1,4,1,3,3,2,3
40,1,1,2,2,2,3,1
40,1,2,3,1,1,3,1
40,1,3,1,1,3,2,3
40,1,4,3,3,1,1,2
41,1,1,2,3,2,1,1
41,1,2,2,2,3,3,2
41,1,3,1,3,2,1,1
41,1,4,3,1,1,2,3
42,1,1,1,2,3,3,2
42,1,2,3,3,1,2,3
42,1,3,2,1,2,1,1
42,1,4,3,1,3,3,2
43,1,1,1,2,1,2,1
43,1,2,3,1,2,3,2
43,1,3,1,2,2,3,3
43,1,4,2,3,3,1,3
44,1,1,1,2,1,1,1
44,1,2,2,2,1,2,2
44,1,3,2,3,3,2,2
44,1,4,3,1,2,3,3
45,1,1,2,2,2,2,3
45,1,2,1,1,1,3,2
45,1,3,1,1,3,1,1
45,1,4,3,3,3,1,1
46,1,1,3,2,3,1,3
46,1,2,1,3,2,2,2
46,1,3,1,3,1,3,3
46,1,4,2,1,1,3,1
47,1,1,1,1,1,3,3
47,1,2,2,2,2,1,2
47,1,3,3,3,3,2,1
47,1,4,3,3,2,1,2
48,1,1,1,3,2,3,3
48,1,2,3,1,1,1,2
48,1,3,2,2,3,2,1
48,1,4,2,2,3,2,3
49,1,1,1,1,3,2,2
49,1,2,3,2,2,3,1
49,1,3,1,1,2,1,1
49,1,4,2,3,1,1,3
50,1,1,3,2,3,3,2
50,1,2,3,3,1,3,1
50,1,3,2,1,3,2,2
50,1,4,1,2,2,1,3
51,1,1,1,2,2,3,2
51,1,2,3,1,3,1,3
51,1,3,2,3,1,2,1
51,1,4,2,3,2,2,1
52,1,1,2,1,1,1,2
52,1,2,3,1,2,1,1
52,1,3,1,2,1,2,3
52,1,4,2,3,3,3,2
53,1,1,2,1,2,1,2
53,1,2,3,2,1,2,1
53,1,3,3,2,3,3,1
53,1,4,1,3,3,3,3
54,1,1,1,3,1,2,2
54,1,2,3,2,2,1,1
54,1,3,3,3,1,2,3
54,1,4,2,1,3,3,3
55,1,1,3,3,3,3,2
55,1,2,1,3,3,1,1
55,1,3,1,1,2,2,1
55,1,4,2,2,1,1,3
56,1,1,2,2,2,2,3
56,1,2,3,3,3,1,1
56,1,3,1,1,1,3,2
56,1,4,2,1,2,3,3
57,1,1,1,2,3,2,2
57,1,2,3,1,3,1,3
57,1,3,1,2,1,2,2
57,1,4,2,3,2,3,1
58,1,1,3,3,2,2,2
58,1,2,3,2,1,3,3
58,1,3,1,1,3,1,3
58,1,4,2,2,1,3,1
59,1,1,1,1,2,2,1
59,1,2,3,2,3,3,3
59,1,3,1,3,2,1,2
59,1,4,2,3,1,1,2
60,1,1,2,1,3,2,1
60,1,2,1,3,3,3,3
60,1,3,2,1,1,2,1
60,1,4,3,2,2,1,2
61,1,1,1,2,3,1,1
61,1,2,3,1,1,3,1
61,1,3,2,1,2,3,2
61,1,4,3,3,1,2,3
62,1,1,1,3,2,2,2
62,1,2,2,2,1,1,3
62,1,3,3,1,3,3,1
62,1,4,2,2,2,2,3
63,1,1,1,3,1,1,2
63,1,2,2,2,3,3,1
63,1,3,3,1,2,2,3
63,1,4,1,3,1,1,1
64,1,1,3,3,3,2,2
64,1,2,1,3,2,3,3
64,1,3,3,2,1,2,1
64,1,4,2,1,3,1,2
65,1,1,1,1,1,1,3
65,1,2,3,3,3,2,1
65,1,3,2,2,2,3,2
65,1,4,1,2,1,3,2
66,1,1,3,3,1,3,2
66,1,2,1,2,3,2,1
66,1,3,2,3,2,1,3
66,1,4,2,1,2,1,3
67,1,1,2,3,1,2,3
67,1,2,3,2,3,1,2
67,1,3,1,1,2,3,1
67,1,4,2,1,3,2,2
68,1,1,3,2,2,3,3
68,1,2,2,3,3,2,2
68,1,3,1,1,1,1,1
68,1,4,3,1,1,1,3
69,1,1,1,2,2,3,1
69,1,2,1,3,2,3,1
69,1,3,3,1,1,2,2
69,1,4,2,3,3,1,3
70,1,1,3,3,2,1,2
70,1,2,2,1,1,3,1
70,1,3,1,2,3,2,3
70,1,4,2,2,2,1,1
71,1,1,1,1,3,2,3
71,1,2,3,2,1,3,2
71,1,3,1,1,3,3,2
71,1,4,2,3,2,1,1
72,1,1,2,3,3,3,1
72,1,2,3,2,1,2,3
72,1,3,3,2,2,2,3
72,1,4,1,1,2,1,2
73,1,1,3,1,2,2,1
73,1,2,1,3,3,3,3
73,1,3,1,2,1,1,1
73,1,4,2,2,1,1,2
74,1,1,1,2,2,1,1
74,1,2,3,3,1,3,3
74,1,3,2,1,1,3,3
74,1,4,3,3,3,2,2
75,1,1,2,1,2,2,2
75,1,2,2,1,3,2,2
75,1,3,3,3,1,1,1
75,1,4,1,2,2,3,3
76,1,1,3,1,3,1,3
76,1,2,2,2,3,1,3
76,1,3,2,2,2,3,2
76,1,4,1,3,1,2,1
77,1,1,2,2,2,1,3
77,1,2,1,1,1,3,2
77,1,3,1,3,1,2,2
77,1,4,3,1,3,3,1
78,1,1,2,1,1,3,3
78,1,2,3,2,3,2,1
78,1,3,1,2,3,1,2
78,1,4,3,3,2,2,1
79,1,1,3,3,2,3,2
79,1,2,1,1,3,2,3
79,1,3,2,3,3,3,1
79,1,4,2,2,1,1,1
80,1,1,2,2,3,3,1
80,1,2,1,3,2,2,3
80,1,3,1,3,1,2,3
80,1,4,3,1,2,1,2
81,1,1,1,2,3,3,3
81,1,2,3,1,1,1,2
81,1,3,2,3,2,2,1
81,1,4,3,1,1,1,1
82,1,1,2,2,1,2,2
82,1,2,2,3,1,3,2
82,1,3,3,3,3,1,3
82,1,4,1,1,2,3,1
83,1,1,2,3,1,3,1
83,1,2,3,2,2,2,2
83,1,3,3,1,2,2,3
83,1,4,1,2,3,1,2
84,1,1,1,1,3,1,1
84,1,2,2,3,2,2,1
84,1,3,1,1,3,1,3
84,1,4,3,2,1,3,2
85,1,1,2,1,3,2,2
85,1,2,3,3,2,1,3
85,1,3,1,2,1,2,3
85,1,4,1,2,1,3,1
86,1,1,2,3,3,3,3
86,1,2,2,1,2,1,3
86,1,3,3,3,3,3,2
86,1,4,1,2,1,2,1
87,1,1,3,2,2,1,2
87,1,2,3,1,2,3,2
87,1,3,1,3,1,1,3
87,1,4,2,2,3,2,1
88,1,1,2,1,1,2,3
88,1,2,2,3,3,1,2
88,1,3,1,1,2,2,1
88,1,4,3,2,1,3,3
89,1,1,3,1,3,1,1
89,1,2,1,3,2,3,2
89,1,3,2,2,1,2,3
89,1,4,3,1,3,3,1
90,1,1,1,3,2,1,2
90,1,2,1,3,1,1,2
90,1,3,3,2,3,2,3
90,1,4,2,1,1,3,1
91,1,1,1,1,2,2,2
91,1,2,3,3,3,3,3
91,1,3,3,3,2,2,1
91,1,4,2,2,1,1,1
92,1,1,1,2,3,3,2
92,1,2,2,2,3,1,2
92,1,3,3,3,1,2,1
92,1,4,1,1,2,3,3
93,1,1,3,3,1,3,1
93,1,2,1,2,3,2,2
93,1,3,2,1,2,1,3
93,1,4,2,3,2,1,3
94,1,1,3,2,2,1,1
94,1,2,3,1,1,2,2
94,1,3,1,3,3,2,3
94,1,4,2,1,1,3,2
95,1,1,1,1,3,1,1
95,1,2,2,2,2,3,3
95,1,3,3,3,1,2,2
95,1,4,1,2,2,3,1
96,1,1,1,3,1,2,1
96,1,2,3,1,1,1,3
96,1,3,2,1,3,1,3
96,1,4,3,2,2,3,2
97,1,1,1,3,2,3,3
97,1,2,2,1,3,2,2
97,1,3,3,2,1,1,1
97,1,4,2,3,3,3,1
98,1,1,3,3,1,3,1
98,1,2,1,1,3,1,2
98,1,3,1,2,3,2,3
98,1,4,2,2,2,2,3
99,1,1,2,1,2,2,2
99,1,2,1,1,1,3,3
99,1,3,3,2,3,2,1
99,1,4,2,3,2,1,2
100,1,1,3,1,2,3,1
100,1,2,3,3,3,1,3
100,1,3,1,2,1,1,2
100,1,4,2,3,3,2,3
101,1,1,2,2,1,3,2
101,1,2,1,1,2,1,1
101,1,3,3,3,3,2,3
101,1,4,2,1,1,1,1
102,1,1,2,3,3,1,1
102,1,2,3,1,1,2,3
102,1,3,1,2,2,2,1
102,1,4,1,2,2,3,2
103,1,1,1,3,1,1,3
103,1,2,2,3,1,3,2
103,1,3,2,2,2,2,1
103,1,4,3,1,3,3,2
104,1,1,3,2,2,1,3
104,1,2,3,2,3,1,2
104,1,3,2,3,1,2,1
104,1,4,1,1,2,3,3
105,1,1,1,1,3,3,2
105,1,2,3,2,1,1,3
105,1,3,2,3,2,2,1
105,1,4,1,1,3,3,1
106,1,1,1,3,1,1,2
106,1,2,2,2,3,3,3
106,1,3,3,1,2,2,1
106,1,4,3,3,2,3,2
107,1,1,3,3,2,3,1
107,1,2,2,2,3,1,2
107,1,3,1,1,1,2,3
107,1,4,2,1,1,2,2
108,1,1,1,2,3,2,3
108,1,2,1,2,3,1,1
108,1,3,2,1,1,3,3
108,1,4,3,3,2,2,2
109,1,1,2,3,2,1,3
109,1,2,3,1,3,2,2
109,1,3,2,2,2,3,3
109,1,4,1,3,1,1,1
110,1,1,1,1,3,3,1
110,1,2,3,2,1,1,2
110,1,3,3,2,3,3,1
110,1,4,2,3,2,2,3
111,1,1,1,1,1,1,2
111,1,2,3,3,3,3,3
111,1,3,1,1,1,2,2
111,1,4,2,2,2,2,1
112,1,1,1,3,2,1,2
112,1,2,3,1,2,1,1
112,1,3,2,3,3,3,2
112,1,4,1,2,1,2,3
113,1,1,2,1,1,3,1
113,1,2,1,3,2,2,2
113,1,3,3,2,1,3,3
113,1,4,2,1,3,1,1
114,1,1,1,3,1,3,1
114,1,2,3,3,3,1,3
114,1,3,3,2,3,1,3
114,1,4,2,1,2,2,2
115,1,1,2,2,3,3,2
115,1,2,3,1,2,3,3
115,1,3,2,3,1,1,2
115,1,4,1,2,3,2,1
116,1,1,3,1,1,2,3
116,1,2,1,2,2,1,1
116,1,3,2,3,3,3,2
116,1,4,3,1,1,1,1
117,1,1,3,1,1,3,2
117,1,2,2,3,3,1,1
117,1,3,1,2,2,3,3
117,1,4,1,2,2,2,3
118,1,1,1,3,1,1,3
118,1,2,1,1,3,2,1
118,1,3,2,1,2,3,1
118,1,4,3,2,3,2,2
119,1,1,2,3,1,2,3
119,1,2,3,2,2,1,2
119,1,3,2,2,1,1,3
119,1,4,1,1,3,3,1
120,1,1,3,3,2,2,2
120,1,2,2,2,1,3,1
120,1,3,3,3,2,2,1
120,1,4,1,1,3,1,3
121,1,1,2,1,2,1,2
121,1,2,1,2,1,3,2
121,1,3,1,3,3,3,3
121,1,4,3,2,1,2,1
122,1,1,2,1,3,2,3
122,1,2,3,1,2,1,3
122,1,3,3,3,2,1,2
122,1,4,1,2,1,3,1
123,1,1,2,3,3,2,2
123,1,2,1,2,2,1,1
123,1,3,1,3,3,2,2
123,1,4,3,1,1,3,3
124,1,1,2,3,2,3,3
124,1,2,1,1,1,2,3
124,1,3,2,2,2,3,2
124,1,4,3,3,3,1,1
125,1,1,2,2,1,1,2
125,1,2,3,1,3,2,1
125,1,3,3,2,3,2,2
125,1,4,1,3,2,3,3
126,1,1,2,1,1,1,1
126,1,2,1,3,2,2,2
126,1,3,3,2,3,3,3
126,1,4,2,3,1,1,1
127,1,1,1,1,2,1,2
127,1,2,3,2,1,3,2
127,1,3,2,1,2,2,3
127,1,4,1,3,3,1,1
128,1,1,1,3,2,1,2
128,1,2,2,2,1,2,3
128,1,3,3,1,1,3,3
128,1,4,2,2,3,2,1
129,1,1,3,3,3,3,1
129,1,2,1,3,1,2,2
129,1,3,3,1,2,3,1
129,1,4,2,2,3,1,3
130,1,1,1,2,2,2,1
130,1,2,3,3,1,1,3
130,1,3,2,1,2,2,1
130,1,4,2,1,3,3,2
131,1,1,1,1,3,1,3
131,1,2,3,2,1,3,2
131,1,3,3,1,3,1,2
131,1,4,2,3,2,2,1
132,1,1,3,2,2,1,1
132,1,2,1,2,2,3,3
132,1,3,1,3,1,3,3
132,1,4,2,1,3,2,2
133,1,1,2,3,3,3,3
133,1,2,3,3,1,2,3
133,1,3,3,2,2,1,2
133,1,4,1,1,1,2,1
134,1,1,2,1,1,3,2
134,1,2,2,2,1,1,1
134,1,3,3,3,2,2,3
134,1,4,1,1,3,3,2
135,1,1,3,3,1,2,2
135,1,2,1,2,3,2,1
135,1,3,1,2,3,1,1
135,1,4,2,1,2,3,3
136,1,1,2,3,3,1,3
136,1,2,1,3,1,3,1
136,1,3,3,1,2,1,3
136,1,4,2,2,3,2,2
137,1,1,2,3,3,2,3
137,1,2,1,1,1,1,2
137,1,3,3,2,2,3,1
137,1,4,1,2,2,3,2
138,1,1,3,1,1,2,1
138,1,2,2,3,3,3,2
138,1,3,3,1,1,1,1
138,1,4,1,2,2,2,3
139,1,1,2,2,1,1,3
139,1,2,3,3,3,3,1
139,1,3,1,1,2,2,2
139,1,4,2,3,2,1,1
140,1,1,1,1,3,1,3
140,1,2,3,2,3,1,3
140,1,3,1,3,1,3,2
140,1,4,2,1,2,2,1
141,1,1,3,2,1,2,2
141,1,2,1,3,3,1,3
141,1,3,3,2,3,3,2
141,1,4,2,1,2,3,1
142,1,1,1,3,3,3,1
142,1,2,2,2,1,3,3
142,1,3,2,2,1,1,2
142,1,4,3,1,2,2,3
143,1,1,3,3,2,1,2
143,1,2,1,3,1,1,1
143,1,3,2,2,3,3,3
143,1,4,1,1,1,2,1
144,1,1,2,3,2,3,1
144,1,2,1,2,1,1,3
144,1,3,2,1,2,1,2
144,1,4,3,1,3,2,2
145,1,1,3,3,1,2,3
145,1,2,3,2,3,2,1
145,1,3,2,3,1,1,2
145,1,4,1,1,2,3,3
146,1,1,1,1,3,2,2
146,1,2,2,3,1,1,3
146,1,3,1,2,2,2,2
146,1,4,3,1,3,3,1
147,1,1,3,3,2,3,1
147,1,2,1,3,3,1,2
147,1,3,3,2,2,3,1
147,1,4,2,1,1,2,3
148,1,1,1,2,2,2,3
148,1,2,2,2,3,2,1
148,1,3,3,1,2,1,3
148,1,4,1,3,1,3,2
149,1,1,3,1,3,1,2
149,1,2,1,3,2,2,3
149,1,3,2,1,1,3,2
149,1,4,3,2,3,1,1
150,1,1,1,1,2,1,2
150,1,2,2,2,1,3,1
150,1,3,3,3,3,2,3
150,1,4,2,2,1,2,1
151,1,1,2,2,2,3,2
151,1,2,1,1,1,1,1
151,1,3,2,1,3,3,3
151,1,4,3,3,3,2,3
152,1,1,2,3,2,1,1
152,1,2,1,2,2,1,1
152,1,3,2,1,3,2,3
152,1,4,3,3,1,3,2
153,1,1,2,1,2,1,3
153,1,2,1,3,3,2,1
153,1,3,3,2,1,3,2
153,1,4,1,2,1,3,3
154,1,1,1,1,3,3,1
154,1,2,2,3,1,1,3
154,1,3,3,2,2,2,2
154,1,4,3,1,1,2,2
155,1,1,1,2,3,1,2
155,1,2,2,1,1,2,3
155,1,3,3,3,2,3,1
155,1,4,1,3,2,3,2
156,1,1,1,1,1,3,3
156,1,2,2,3,2,2,2
156,1,3,3,2,3,1,3
156,1,4,3,2,3,1,1
157,1,1,1,3,1,2,1
157,1,2,3,1,1,1,1
157,1,3,2,1,3,3,2
157,1,4,3,2,2,1,3
158,1,1,2,2,3,2,2
158,1,2,3,1,1,1,3
158,1,3,2,3,3,3,1
158,1,4,1,3,2,3,1
159,1,1,1,2,2,2,2
159,1,2,2,1,1,1,1
159,1,3,3,3,3,3,3
159,1,4,1,2,1,2,2
160,1,1,1,3,3,1,2
160,1,2,3,1,2,3,2
160,1,3,2,2,2,3,3
160,1,4,3,1,1,2,1
161,1,1,2,2,2,2,1
161,1,2,3,1,1,3,2
161,1,3,2,3,2,1,1
161,1,4,1,2,3,2,3
162,1,1,3,1,2,2,1
162,1,2,2,2,1,3,2
162,1,3,1,1,3,3,3
162,1,4,1,3,3,1,3
163,1,1,2,3,2,1,2
163,1,2,1,2,1,2,1
163,1,3,3,3,1,1,2
163,1,4,3,1,3,3,3
164,1,1,3,1,1,3,2
164,1,2,2,2,3,1,1
164,1,3,1,2,2,1,3
164,1,4,1,3,2,2,3
165,1,1,2,1,3,2,2
165,1,2,2,3,3,2,1
165,1,3,1,1,1,1,2
165,1,4,3,2,2,3,3
166,1,1,3,3,1,2,1
166,1,2,2,2,2,3,3
166,1,3,1,3,1,3,1
166,1,4,1,1,3,1,2
167,1,1,3,2,3,1,1
167,1,2,1,1,1,3,1
167,1,3,2,2,3,2,2
167,1,4,3,3,2,1,3
168,1,1,3,2,3,3,2
168,1,2,2,3,1,2,3
168,1,3,2,1,2,2,3
168,1,4,1,1,2,1,1
169,1,1,1,1,3,3,1
169,1,2,3,3,2,2,2
169,1,3,3,3,3,3,3
169,1,4,2,2,1,1,3
170,1,1,3,1,3,3,3
170,1,2,1,2,1,2,1
170,1,3,2,3,1,1,1
170,1,4,2,3,2,1,2
171,1,1,1,1,2,2,2
171,1,2,2,1,3,1,1
171,1,3,1,2,2,2,2
171,1,4,3,3,1,3,3
172,1,1,2,3,2,3,1
172,1,2,3,2,1,2,3
172,1,3,1,2,1,3,3
172,1,4,1,1,3,1,2
173,1,1,2,2,2,1,2
173,1,2,3,3,3,2,1
173,1,3,1,1,1,3,3
173,1,4,3,2,2,1,1
174,1,1,3,1,2,1,3
174,1,2,2,3,3,2,2
174,1,3,2,3,3,3,2
174,1,4,1,2,1,3,1
175,1,1,2,2,1,3,2
175,1,2,1,3,3,1,3
175,1,3,3,3,1,2,2
175,1,4,3,1,2,2,1
176,1,1,1,2,3,1,1
176,1,2,2,1,3,2,1
176,1,3,3,3,1,3,2
176,1,4,2,1,2,2,3
177,1,1,3,3,3,2,1
177,1,2,2,1,1,1,2
177,1,3,1,3,2,1,3
177,1,4,1,2,2,3,3
178,1,1,3,2,3,1,2
178,1,2,1,3,1,2,3
178,1,3,2,1,2,3,1
178,1,4,2,2,1,2,3
179,1,1,3,2,1,1,1
179,1,2,1,1,2,3,2
179,1,3,1,2,3,3,2
179,1,4,2,3,3,2,3
180,1,1,2,2,3,3,3
180,1,2,3,3,2,3,1
180,1,3,3,1,2,1,1
180,1,4,1,3,1,2,2
181,1,1,2,1,1,1,3
181,1,2,3,2,2,2,2
181,1,3,3,1,3,1,2
181,1,4,1,3,3,3,1
182,1,1,2,2,1,1,1
182,1,2,3,3,3,3,2
182,1,3,1,1,2,2,3
182,1,4,1,1,1,2,1
183,1,1,2,2,2,3,1
183,1,2,3,3,1,3,2
183,1,3,2,2,2,1,3
183,1,4,1,1,3,2,1
184,1,1,2,1,2,2,2
